Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references,tbas_loci,missing,link,Trophic Mode,Guild
Otu2401,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,Coniochaeta,Coniochaeta,"Coniochaeta_ligniaria,Coniochaeta_hoffmannii,Coniochaeta_ostrea,Coniochaeta_velutina,Coniochaeta_lignicola,Coniochaeta_prunicola,Coniochaeta_africana,Coniochaeta_mutabilis","0.336389, 0.072581, 0.056245, 0.055176, 0.039691, 0.039676, 0.039528, 0.039065, 0.034720, 0.034382, 0.034382",OTU1559,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2401,Pathotroph,Lichen Parasite
Otu2402,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Pleospora,Pleospora,Pleospora_halimiones,"0.392231, 0.226836, 0.216288, 0.072569, 0.019414, 0.013987, 0.010376",OTU1560,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2402,Pathotroph-Saprotroph,Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph
Otu2403,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Saccharomycetaceae,"Saccharomycetaceae,Metschnikowiaceae,unclassified,Dipodascaceae,Eremotheciaceae,Trichomonascaceae",Candida,"Candida,Kluyveromyces,Yarrowia,Clavispora,Metschnikowia,Saccharomyces,Eremothecium,Zygoascus,Naumovozyma,Lachancea","Kluyveromyces_lactis,Yarrowia_lipolytica,Clavispora_lusitaniae,Candida_albicans,Metschnikowia_bicuspidata,Saccharomyces_cerevisiae,Eremothecium_gossypii,Zygoascus_hellenicus,Naumovozyma_castellii,Lachancea_waltii,Candida_glabrata","0.193231, 0.164732, 0.164474, 0.095700, 0.043066, 0.042457, 0.037788, 0.034368, 0.033764, 0.030451, 0.024475",OTU1561,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2403,Pathotroph,Animal Pathogen
Otu2404,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Stachybotriaceae,"Stachybotriaceae,Stachybotryaceae",Virgatospora,"Virgatospora,Parvothecium,Inaequalispora","Virgatospora_echinofibrosa,Parvothecium_terrestre,Virgatospora_echinofibrosa_1,Inaequalispora_prestonii","0.444539, 0.327474, 0.172923, 0.012360",OTU1562,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2404,,
Otu2405,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Saccharomycetaceae,"Saccharomycetaceae,Metschnikowiaceae,unclassified,Dipodascaceae,Eremotheciaceae,Trichomonascaceae",Candida,"Candida,Kluyveromyces,Yarrowia,Clavispora,Metschnikowia,Saccharomyces,Eremothecium,Zygoascus,Naumovozyma,Lachancea","Kluyveromyces_lactis,Yarrowia_lipolytica,Clavispora_lusitaniae,Candida_albicans,Metschnikowia_bicuspidata,Saccharomyces_cerevisiae,Eremothecium_gossypii,Zygoascus_hellenicus,Naumovozyma_castellii,Lachancea_waltii,Candida_glabrata","0.168353, 0.160531, 0.154585, 0.070847, 0.070651, 0.048133, 0.047797, 0.043007, 0.041741, 0.028340, 0.025652",OTU1563,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2405,Pathotroph,Animal Pathogen
Otu2406,Ascomycota,Ascomycota,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Ascobolaceae,Ascobolaceae,Ascobolus,"Ascobolus,Saccobolus","Ascobolus_carbonarius,Ascobolus_crenulatus,Ascobolus_denudatus,Saccobolus_dilutellus","0.252404, 0.106867, 0.106597, 0.085605, 0.084550, 0.025855, 0.025854, 0.024844, 0.020719, 0.010191, 0.010180",OTU1564,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2406,Saprotroph,Dung Saprotroph-Wood Saprotroph
Otu2407,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Verrucariales,Verrucariales,Verrucariaceae,Verrucariaceae,Endocarpon,Endocarpon,Endocarpon_pusillum,"0.266124, 0.126143, 0.124867, 0.123580, 0.121243, 0.120897, 0.115695",OTU1565,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2407,Symbiotroph,Lichenized
Otu2408,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Leptosphaeriaceae,Leptosphaeriaceae,Leptosphaeria,Leptosphaeria,Leptosphaeria_doliolum,"0.579568, 0.107480, 0.095737, 0.039620, 0.021266, 0.017361, 0.016198, 0.013806, 0.013148, 0.010119, 0.008483",OTU1566,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2408,Pathotroph,Plant Pathogen
Otu2409,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae,Parastagonospora,"Parastagonospora,Juncaceicola,Sclerostagonospora,Allophaeosphaeria,Populocrescentia,Phaeosphaeria","Juncaceicola_alpina,Sclerostagonospora_opuntiae,Allophaeosphaeria_clematidis,Parastagonospora_nodorum,Populocrescentia_forlicesenensis,Phaeosphaeria_eustoma,Parastagonospora_avenae","0.177160, 0.176929, 0.175136, 0.092159, 0.091940, 0.089472, 0.089457, 0.048252, 0.022504",OTU1567,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2409,,
Otu241,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Amphisphaeriaceae,Amphisphaeriaceae,Discostroma,"Discostroma,Pseudopestalotiopsis,Seiridium,Pestalotiopsis","Discostroma_botan,Pseudopestalotiopsis_theae,Seiridium_cardinale,Pestalotiopsis_vismiae","0.225216, 0.223847, 0.219788, 0.150943, 0.143119",OTU1568,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu241,Pathotroph,Plant Pathogen
Otu2410,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Comoclathris,Comoclathris,Comoclathris_lini,"0.027956, 0.023245, 0.023225, 0.021553, 0.021436, 0.021179, 0.019193, 0.016550, 0.013841, 0.013367, 0.013367",OTU1569,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2410,Saprotroph,Undefined Saprotroph
Otu2411,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Eurotiales,Eurotiales,Aspergillaceae,Aspergillaceae,Aspergillus,Aspergillus,Aspergillus_oryzae,1,OTU1570,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2411,Pathotroph,Plant Pathogen
Otu2412,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii",0.98706,OTU1571,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2412,Pathotroph,Animal Pathogen
Otu2413,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,"unclassified,Capnodiales",unclassified,"unclassified,Cladosporiaceae",unclassified,"unclassified,Rachicladosporium","Rachicladosporium_inconspicuum_1,Dothideomycetes_sp_TRN43,Rachicladosporium_inconspicuum,Dothideomycetes_sp_TRN42,Dothideomycetes_sp_TRN44","0.483430, 0.142173, 0.110059, 0.099335, 0.074215, 0.061795",OTU1572,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2413,,
Otu2414,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Arthopyreniaceae,Arthopyreniaceae,Arthopyrenia,Arthopyrenia,Arthopyrenia_salicis,"0.655731, 0.125933, 0.102128, 0.058803, 0.057119",OTU1573,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2414,Symbiotroph,Lichenized
Otu2415,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Lophiostomataceae,"Lophiostomataceae,unclassified,Trematosphaeriaceae",Lophiohelichrysum,"Lophiohelichrysum,Massariosphaeria,Lophiostoma,Trematosphaeria,Sigarispora","Lophiohelichrysum_helichrysi,Massariosphaeria_grandispora,Lophiostoma_crenatum,Trematosphaeria_heterospora,Sigarispora_arundinis","0.082554, 0.063740, 0.062310, 0.032941, 0.032911, 0.031248, 0.023791, 0.023782, 0.022051, 0.022049, 0.020567",OTU1574,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2415,,
Otu2416,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Leotiaceae,Leotiaceae,Neobulgaria,Neobulgaria,Neobulgaria_alba,"0.169247, 0.168503, 0.164923, 0.014081, 0.014040, 0.014039, 0.011588, 0.011537, 0.011534, 0.011531, 0.010779",OTU1575,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2416,Saprotroph,Undefined Saprotroph
Otu2417,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii",0.999993,OTU1576,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2417,Pathotroph,Animal Pathogen
Otu2418,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii","0.769988, 0.025401, 0.025378, 0.025344, 0.013651, 0.012713, 0.011890, 0.011873, 0.011071, 0.009745, 0.009544",OTU1577,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2418,Pathotroph,Animal Pathogen
Otu2419,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Eremotheciaceae,Eremotheciaceae,Eremothecium,Eremothecium,Eremothecium_gossypii,"0.875124, 0.018218, 0.012740, 0.007559, 0.004840, 0.004840, 0.004563, 0.004455, 0.004268, 0.003535, 0.002292",OTU1578,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2419,Pathotroph,Plant Pathogen
Otu242,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Pyrenochaeta,Pyrenochaeta,"Pyrenochaeta_cava,Pyrenochaeta_nobilis","0.516605, 0.138803, 0.069933, 0.050931, 0.048805, 0.045064, 0.013759, 0.012008, 0.009273, 0.009211, 0.008863",OTU1579,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu242,Saprotroph,Litter Saprotroph-Soil Saprotroph
Otu2420,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Rhytismatales,"Rhytismatales,Helotiales,Phacidiales",Phacidiaceae,"Phacidiaceae,Rhytismataceae,Helotiaceae,Cudoniaceae,Bulgariaceae,unclassified",Phacidium,"Phacidium,Zymochalara,Cyclaneusma,Bulgaria,Darkera,Potebniamyces,Spathularia,Cudonia","Cyclaneusma_minus,Bulgaria_inquinans,Phacidium_lacerum,Phacidium_pseudophacidioides,Zymochalara_lygodii,Darkera_picea,Potebniamyces_pyri,Spathularia_velutipes,Cudonia_circinans,Phacidium_lauri,Zymochalara_cyatheae","0.044254, 0.018469, 0.015778, 0.015414, 0.014702, 0.014695, 0.014695, 0.014695, 0.014695, 0.014695, 0.014695",OTU1580,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2420,Pathotroph,Plant Pathogen
Otu2421,Ascomycota,Ascomycota,Lecanoromycetes,Lecanoromycetes,Arctomiales,Arctomiales,Arctomiaceae,Arctomiaceae,Gregorella,Gregorella,Gregorella_humida,"0.016372, 0.014323, 0.013479, 0.013375, 0.012883, 0.012752, 0.012381, 0.007844, 0.007793, 0.007572, 0.007425",OTU1581,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2421,Symbiotroph,Lichenized
Otu2422,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Verrucariales,Verrucariales,Verrucariaceae,Verrucariaceae,Staurothele,"Staurothele,Wahlenbergiella,Verrucaria,Agonimia,Flakea","Staurothele_frustulenta,Wahlenbergiella_mucosa,Verrucaria_hydrela,Agonimia_repleta,Staurothele_rufa,Staurothele_fissa,Verrucaria_tristis,Staurothele_areolata,Wahlenbergiella_striatula,Agonimia_sp,Flakea_papillata","0.305709, 0.208607, 0.204572, 0.054360, 0.018784, 0.018366, 0.017678, 0.010884, 0.010672, 0.007796, 0.006928",OTU1582,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2422,Symbiotroph,Lichenized
Otu2423,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Phyllostictaceae,"Phyllostictaceae,Planistromellaceae,Aplosporellaceae",Phyllosticta,"Phyllosticta,Kellermania,Aplosporella","Phyllosticta_elongata,Kellermania_nolinifoliorum,Phyllosticta_capitalensis,Phyllosticta_abieticola,Phyllosticta_ampelicida,Kellermania_confusa,Phyllosticta_philoprina,Kellermania_micranthae,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_beaumarisii","0.091922, 0.076960, 0.059386, 0.026927, 0.022040, 0.021674, 0.021618, 0.021040, 0.016976, 0.015905, 0.015834",OTU1583,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2423,Pathotroph,Plant Pathogen
Otu2424,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Chaetomiaceae,Chaetomiaceae,Dichotomopilus,Dichotomopilus,Dichotomopilus_fusus,"0.799198, 0.083685, 0.044103, 0.010809, 0.010590, 0.006250",OTU1584,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2424,Saprotroph,Undefined Saprotroph
Otu2425,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii","0.160180, 0.098435, 0.071832, 0.027998, 0.019662, 0.019324, 0.017834, 0.009721, 0.009344, 0.009172, 0.008820",OTU1585,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2425,Pathotroph,Animal Pathogen
Otu2426,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Coniothyriaceae,Coniothyriaceae,Coniothyrium,Coniothyrium,Coniothyrium_cereale,0.983939,OTU1586,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2426,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph
Otu2427,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii","0.341514, 0.032004, 0.032001, 0.031997, 0.028064, 0.028053, 0.014924, 0.012467, 0.012432, 0.010255, 0.009114",OTU1587,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2427,Pathotroph,Animal Pathogen
Otu2428,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii","0.764812, 0.075988, 0.067900, 0.010487, 0.010486, 0.009863, 0.009242, 0.008470",OTU1588,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2428,Pathotroph,Animal Pathogen
Otu2429,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",unclassified,"unclassified,Neodevriesiaceae",Neodevriesia,"Neodevriesia,Tripospermum,unclassified","Tripospermum_myrti,Neodevriesia_strelitziae,Neodevriesia_agapanthi,Dothideomycetes_sp_TRN142","0.172781, 0.171860, 0.171737, 0.171737, 0.171737, 0.051202, 0.048537",OTU1589,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2429,,
Otu243,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Phacidiales,Phacidiales,Phacidiaceae,Phacidiaceae,Phacidium,Phacidium,Phacidium_lauri,"0.048281, 0.037916, 0.026326, 0.025718, 0.024598, 0.024310, 0.023627, 0.022861, 0.015221, 0.014662, 0.014572",OTU1590,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu243,Pathotroph,Plant Pathogen
Otu2430,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Curvularia,"Curvularia,Bipolaris","Curvularia_prasadii,Curvularia_pseudolunata,Curvularia_aeria,Curvularia_brachyspora,Curvularia_chlamydospora,Bipolaris_sorokiniana,Curvularia_caricae_papayae,Curvularia_heteropogonis,Curvularia_perotidis,Bipolaris_maydis,Bipolaris_microlaenae","0.071575, 0.071530, 0.071369, 0.064563, 0.064461, 0.034296, 0.034174, 0.031363, 0.031355, 0.019220, 0.019205",OTU1591,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2430,Pathotroph,Plant Pathogen
Otu2431,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,Meyerozyma,Meyerozyma_guilliermondii,1,OTU1592,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2431,Pathotroph,Animal Pathogen
Otu2432,Ascomycota,Ascomycota,Orbiliomycetes,Orbiliomycetes,Orbiliales,"Orbiliales,unclassified",Orbiliaceae,"Orbiliaceae,unclassified",Arthrobotrys,"Arthrobotrys,Dactylellina,Drechslerella,Orbilia,Lecophagus","Arthrobotrys_pyriformis,Dactylellina_ellipsospora,Drechslerella_brochopaga,Dactylellina_haptotyla,Arthrobotrys_gephyropaga,Arthrobotrys_superba,Arthrobotrys_elegans,Orbilia_vinosa,Orbilia_auricolor,Lecophagus_sp,Drechslerella_dactyloides","0.094381, 0.094288, 0.092643, 0.071229, 0.071100, 0.054792, 0.053538, 0.053527, 0.041216, 0.040155, 0.040069",OTU1593,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2432,Saprotroph,Undefined Saprotroph
Otu2433,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii",0.984218,OTU1594,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2433,Pathotroph,Animal Pathogen
Otu2434,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Saccharataceae,"Saccharataceae,Septorioideaceae",Saccharata,"Saccharata,Septorioides","Saccharata_hawaiiensis,Saccharata_kirstenboschensis,Saccharata_capensis,Septorioides_pini_thunbergii","0.072300, 0.046747, 0.046598, 0.046352, 0.045180, 0.044890, 0.036869, 0.036050, 0.035892, 0.035878, 0.034437",OTU1595,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2434,Pathotroph,Plant Pathogen
Otu2435,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,unclassified,unclassified,Madurella,Madurella,Madurella_tropicana,"0.668612, 0.062094, 0.057094, 0.056944, 0.032498, 0.032318, 0.028214, 0.027362",OTU1596,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2435,Pathotroph,Animal Pathogen
Otu2436,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Chaetomiaceae,Chaetomiaceae,Corynascella,Corynascella,Corynascella_humicola,0.992071,OTU1597,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2436,Saprotroph,Undefined Saprotroph
Otu2437,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Pleurotheciales,Pleurotheciales,Pleurotheciaceae,Pleurotheciaceae,Melanotrigonum,"Melanotrigonum,Adelosphaeria","Melanotrigonum_ovale,Adelosphaeria_catenata","0.082698, 0.079595, 0.073897, 0.018705, 0.018643, 0.018571, 0.018489, 0.018445, 0.017536, 0.014023, 0.013805",OTU1598,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2437,,
Otu2438,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Coryneliales,Coryneliales,Coryneliaceae,Coryneliaceae,Corynelia,Corynelia,Corynelia_uberata,"0.196019, 0.192543, 0.191926, 0.191926, 0.191926",OTU1599,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2438,Pathotroph,Plant Pathogen
Otu2439,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Aureobasidiaceae,"Aureobasidiaceae,Dothioraceae,Dothideaceae,unclassified",Aureobasidium,"Aureobasidium,Dothiora,Delphinella,Dothidea,Sydowia,Neocylindroseptoria,unclassified","Aureobasidium_lini,Dothiora_ceratoniae,Aureobasidium_melanogenum,Delphinella_strobiligena,Aureobasidium_namibiae,Dothiora_cannabinae,Dothidea_ribesia,Aureobasidium_pullulans,Sydowia_polyspora,Neocylindroseptoria_pistaciae,Dothideomycetes_sp_TRN11","0.083085, 0.082988, 0.074139, 0.074024, 0.074024, 0.074024, 0.074024, 0.074024, 0.059482, 0.013805, 0.013805",OTU1600,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu2439,Pathotroph,Plant Pathogen
Otu244,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymellaceae,"Didymellaceae,Leptosphaeriaceae",Neoascochyta,"Neoascochyta,Paraleptosphaeria","Neoascochyta_paspali,Neoascochyta_europaea,Paraleptosphaeria_rumicis,Neoascochyta_desmazieri","0.028841, 0.027777, 0.026590, 0.025865, 0.025332, 0.024702, 0.023208, 0.012326, 0.012316, 0.012315, 0.011975",OTU1601,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu244,,
